NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,NO_MESORREGIAO,CO_MESORREGIAO,NO_MICRORREGIAO,CO_MICRORREGIAO,CO_DISTRITO,CO_ENTIDADE,NO_ENTIDADE,TP_DEPENDENCIA,TP_CATEGORIA_ESCOLA_PRIVADA,TP_LOCALIZACAO,TP_LOCALIZACAO_DIFERENCIADA,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_DDD,NU_TELEFONE,TP_SITUACAO_FUNCIONAMENTO,ID_MUNICIPIO,ID_ESCOLA,CEP_Formatado
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001505,11024666,EMEIEF BOA ESPERANCA,3,0,2,0,LINHA P 50 KM 22,,,,76954000.0,69,9.8431E8,1,1100015,11024666,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001505,11024682,EEEF EURIDICE LOPES PEDROSO,2,0,1,0,AVENIDA MATO GROSSO,3861,,CENTRO,76954000.0,69,36412015,1,1100015,11024682,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001520,11024828,EMEIEF IZIDORO STEDILE,3,0,1,0,LINHA 138 KM 100,,,,76954000.0,69,36412215,1,1100015,11024828,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001505,11024968,EEEMTI JUSCELINO KUBITSCHEK DE OLIVEIRA,2,0,1,0,AVENIDA AMAPA,4503,,SANTA FELICIDADE,76954000.0,69,36412127,1,1100015,11024968,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001525,11025077,EMEIEF MARIA DE SOUZA PEGO,3,0,1,0,"LINHA 47,5",,,,76954000.0,69,36412215,1,1100015,11025077,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001515,11025280,EMEIEF PADRE FEIJO,3,0,1,0,LINHA 105 COM A 152,,,,76954000.0,69,36413630,1,1100015,11025280,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001505,11025310,EMEIEF PEDRO ALEIXO,3,0,1,0,LINHA 148 COM A 65 KM 38,,,,76954000.0,69,9.8487E8,1,1100015,11025310,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001505,11025352,EMEIEF POTY,3,0,2,0,LINHA 60 COM A 156,,,,76954000.0,69,36412215,1,1100015,11025352,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001505,11025620,EEEF TANCREDO DE ALMEIDA NEVES,2,0,1,0,AVENIDA ALTA FLORESTA,2973,,PRINCESA IZABEL,76954000.0,69,36412873,1,1100015,11025620,76954000
2019,Norte,1,Rondônia,RO,11,Alta Floresta D'Oeste,1100015,Leste Rondoniense,1102,Cacoal,11006,110001505,11025638,EEEFM PADRE EZEQUIEL RAMIN,2,0,1,0,RUA NEREU RAMOS,4581,,REDONDO,76954000.0,69,36413924,1,1100015,11025638,76954000
