A004_nao_sabe_escolaridade_mae,Não sabe Escolaridade da Mãe,
A010A_tem_tv_a_cabo,Temn TV a Cabo,
A005_nao_sabe_escolaridade_pai,Não sabe Escolaridade do Pai,
A007_vez_enquanto_contratam_domestica,Contratam Doméstica,
A017B_faz_curso_mais_de_2_horas,Faz Curso mais de 2 Horas,
A009A_nenhuma_geladeira_em_casa,Nenhuma Geladeira em Casa,
A003A_mora_com_mae_madrasta,Mora com Mãe ou madastra,
A002_alunos_brancos,Alunos Brancos,
A009B_1_tablet_em_casa,Tablet em Casa,
A018C_nunca_le_quadrinhos,Nunca Lê Quadrinhos,
A019_depois_ensino_medio_so_trabalhar,Depois do EM só Trabalhar,
A014_abandonou_escola_publica_particular,Abandonou Escola,
A006A_pais_sempre_conversam_sobre_escola,Pais sembre Conversam sobre Escola,
A018A_sempre_le_noticias,Sempre Le Notícias,
A003D_moro_com_avos,Mora com Avós,
A020_concluiu_em_eja,Concluiu em EJA,
A008C_iluminacao_minha_rua_ok,Boa Iluminação na Rua,
A015_nunca_foi_reprovado,Nunca foi Reprovado,
A010D_tem_mesa_de_estudo,Tem Mesa de Estudo,
A010C_tem_quarto_so_meu,Tem Quarto Individual,
A012_transporte_carro,Transporte por Carro,
A013_ingressou_aos_8_ou_mais,Ingressou ao 8 anos ou mais,
A017D_estuda_mais_de_2_horas,Estuda mais de 2 Horas,
A017E_trabalha_mais_de_2_horas,Trabalha mais de 2 Horas,
A009C_1_pc_em_casa,1 PC em Casa,
A006E_pais_nunca_vao_a_reuniao,Pais nunca vão em Reunião,
A010E_tem_garagem,Tem Garagem,
A006C_nunca_incentiva_fazer_tarefa,Nunca Incentival a fazer Tarefa,
A016_nunca_abandonou_escola,Nunca Abandonou Escola,
A017C_trabalho_domestico_1_a_2_horas,Travalho Doméstico entre 1 e 2 horas,
A003B_mora_com_pai_padrasto,Mora com Pais ou Padrasto,
A008B_tem_agua_tratada,Tem Agua Tratada,
A018B_nuca_le_livros,Nunca Lê Livros,
A006B_pais_incentiva_estudar,Pais Incentivam a Estudar,
A009D_1_quarto_em_casa,1 Quarto em Casa,
A010B_tem_wifi,Tem Wifi,
A017A_nao_tem_lazer,Não tem Lazer,
A006D_sempre_comparece_as_aulas,Sempre Comparece a Aulas,
A010G_nao_tem_aspirador_de_po,Não tem Aspirador de Pó,
A009F_2_banheiros_em_casa,2 Banheiros em Casa,
P014_alunos_tem_prob_aprendizagem_concordo,Alunos com Problema de Aprendizagem,
P101_alunos_sob_efeito_drogas_nunca,Nunca com Alunos sob Drogas,
P001_prof_pardo,Professor Pardo,
P115_estimula_aluno_expressar_opiniao_semanal,Estimula Aluno Expressar Opinião,
P022_assiste_telejornal_sempre,Professor Assiste Telejornal,
P080_reuniu_conselho_classe_mais_3_vezes,Professor Reune Conselho de Class,
P094_alunos_respeitam_acordos_discordo,Alunos Respeitam Acordos,
P075_ppp_discutido_em_reuniao_sim,PPP Discutido em Reunião,
P064_aprimorar_aval_contribuiu_muito,Aprimirar Aval Contribui,
P095_alunos_chegam_pontualmente_concordo,Alunos Chegam Pontualmente,

